Time,AQI,Station_Id_C,Year_Data,Mon_Data,Day_Data,Hour_Data,PRS,PRS_Sea,WIN_D,WIN_S,TEM,RHU,PRE_1h,sta
T329.12-福建,27.66666667,58847,2022,3,29,12,1009.7,1019.9,263,1.2,17.5,76,0,福建
T329.12-海南,24.33333333,59758,2022,3,29,12,1006.2,1013.8,90,3.7,21.7,100,0,海南
T329.12-湖南,25,57687,2022,3,29,12,1001.1,1015.5,265,0.9,16.3,96,1.3,湖南
T329.12-江西,37.66666667,58606,2022,3,29,12,1010.6,1016.4,319,0.4,17.6,71,0,江西
T329.12-青海,90.66666667,52866,2022,3,29,12,755.8,1013.2,120,7.2,6.6,35,0,青海
T329.12-上海,31.33333333,58362,2022,3,29,12,1019,1019.5,126,1.2,13.9,68,0,上海
T329.12-云南,67.33333333,56778,2022,3,29,12,807,1004.7,205,3.3,20,48,0,云南
T329.15-福建,36.66666667,58847,2022,3,29,15,1010.4,1020.6,90,1.2,17,79,0,福建
T329.15-海南,23.66666667,59758,2022,3,29,15,1007.9,1015.5,92,3.3,22.1,100,0,海南
T329.15-湖南,32.33333333,57687,2022,3,29,15,1003.6,1017.9,236,1.8,16,98,2.9,湖南
T329.15-江西,27.66666667,58606,2022,3,29,15,1013.1,1018.9,232,2.5,16.2,86,1.6,江西
T329.15-青海,91.33333333,52866,2022,3,29,15,759.2,1016.7,131,7.5,4.1,43,0,青海
T329.15-上海,40.33333333,58362,2022,3,29,15,1018.8,1019.3,138,3.4,14.2,79,0,上海
T329.15-云南,63.66666667,56778,2022,3,29,15,809.6,1007.1,246,2.1,17.1,69,0,云南
T329.18-福建,43.66666667,58847,2022,3,29,18,1008.7,1018.8,240,1.2,15.9,95,2.4,福建
T329.18-海南,23.66666667,59758,2022,3,29,18,1006.8,1014.4,79,2.2,22,100,0.2,海南
T329.18-湖南,32.66666667,57687,2022,3,29,18,1003.1,1017.3,113,1.2,15.8,98,0.1,湖南
T329.18-江西,28.33333333,58606,2022,3,29,18,1012.2,1018,213,1.3,14.7,95,0.1,江西
T329.18-青海,99,52866,2022,3,29,18,760,1016.8,147,4.4,2.3,48,0,青海
T329.18-上海,50,58362,2022,3,29,18,1017,1017.5,168,4.4,14.5,90,0,上海
T329.18-云南,57,56778,2022,3,29,18,809.7,1006.6,212,3,16.2,76,0,云南
T329.21-福建,51.66666667,58847,2022,3,29,21,1008.3,1018.4,241,1.3,16.1,96,0,福建
T329.21-海南,23,59758,2022,3,29,21,1005.6,1013.2,94,4.5,21.8,100,0,海南
T329.21-湖南,44.66666667,57687,2022,3,29,21,1002,1016.2,113,1.9,15.3,98,4.5,湖南
T329.21-江西,35,58606,2022,3,29,21,1012.1,1017.9,117,0.7,15,96,0,江西
T329.21-青海,113.3333333,52866,2022,3,29,21,759.4,1016.7,999017,0,0.6,53,0,青海
T329.21-上海,44.33333333,58362,2022,3,29,21,1017,1017.5,148,1.6,13.7,98,0,上海
T329.21-云南,60.33333333,56778,2022,3,29,21,809.6,1007,229,2.3,14.5,86,0,云南
T329.6-福建,26.33333333,58847,2022,3,29,6,1009.4,1019.6,154,1.7,21.1,61,0,福建
T329.6-海南,24,59758,2022,3,29,6,1006.1,1013.7,78,3.7,22,100,0.1,海南
T329.6-湖南,32.66666667,57687,2022,3,29,6,1000.6,1014.8,124,5.8,22.5,52,0,湖南
T329.6-江西,47,58606,2022,3,29,6,1011.8,1017.6,92,2.4,19,58,0,江西
T329.6-青海,145.6666667,52866,2022,3,29,6,755.7,1008.8,114,4.1,11.2,21,0,青海
T329.6-上海,23.66666667,58362,2022,3,29,6,1019.6,1020.1,72,3.5,18.8,52,0,上海
T329.6-云南,58,56778,2022,3,29,6,807.3,1004,191,3.7,21.4,46,0,云南
T329.9-福建,30,58847,2022,3,29,9,1008.2,1018.4,180,2,20.9,61,0,福建
T329.9-海南,24.33333333,59758,2022,3,29,9,1004.6,1012.2,77,2.4,22.2,99,0,海南
T329.9-湖南,27.66666667,57687,2022,3,29,9,999.3,1013.6,161,2.1,21.1,57,0,湖南
T329.9-江西,45,58606,2022,3,29,9,1009.7,1015.5,83,1.7,19.7,61,0,江西
T329.9-青海,103.3333333,52866,2022,3,29,9,753.2,1006.6,128,8.3,11.6,23,0,青海
T329.9-上海,26.66666667,58362,2022,3,29,9,1018,1018.6,124,3.9,17.5,51,0,上海
T329.9-云南,61.66666667,56778,2022,3,29,9,805.5,1001.9,197,3.5,21.7,45,0,云南
T330.12-福建,41,58847,2022,3,30,12,1007.1,1017.2,133,2.3,18.8,92,0,福建
T330.12-海南,23.33333333,59758,2022,3,30,12,1006.1,1013.7,78,2,22.6,100,0,海南
T330.12-湖南,25.33333333,57687,2022,3,30,12,1003.3,1017.6,330,2.8,16.6,97,1.2,湖南
T330.12-江西,38,58606,2022,3,30,12,1012.3,1018.1,73,1.9,16.7,96,3.7,江西
T330.12-青海,75,52866,2022,3,30,12,764.9,1027.4,97,9.8,6.1,38,0,青海
T330.12-上海,32,58362,2022,3,30,12,1020.4,1020.9,29,3.2,15.9,68,0,上海
T330.12-云南,62.66666667,56778,2022,3,30,12,808.9,1006.5,198,2.5,21.3,41,0,云南
T330.15-福建,29.66666667,58847,2022,3,30,15,1008.3,1018.4,138,1,17.9,96,0,福建
T330.15-海南,28,59758,2022,3,30,15,1008,1015.5,42,2.2,22.4,100,0.2,海南
T330.15-湖南,24.66666667,57687,2022,3,30,15,1005.7,1020.1,353,2.8,16.3,96,1.1,湖南
T330.15-江西,42.66666667,58606,2022,3,30,15,1014,1019.8,27,2.5,16.8,96,1.3,江西
T330.15-青海,63,52866,2022,3,30,15,768.5,1032.3,22,4.9,2.3,71,0,青海
