,AQI,城市道路照明灯千盏,城市公共汽、电车车辆运营数辆,城市公共汽、电车运营线路总长度公里,城市建设用地面积平方公里,城市绿地面积公顷,城市排水管道长度公里,城市桥梁座,城市清扫保洁面积万平方米,城市燃气普及率%,城市人口密度人每平方公里,城市污水日处理能力万立方米,城市用水普及率%,除涝面积千公顷,低温冷冻和雪灾受灾面积千公顷,电子商务采购额亿元,电子商务销售额亿元,发明专利授权数件,分地区公路货运量(万吨,分地区水路货运量万吨,分地区铁路货运量万吨,分地区用电量亿千瓦小时,风雹灾害受灾面积千公顷,公路货物周转量亿吨公里).,公路客运量万人,公路旅客周转量亿人公里,供热面积万平方米,供热总量-热水万吉焦,供热总量-蒸汽万吉焦,国家自然保护区个数(个,国家自然保护区面积万公顷,旱灾受灾面积千公顷,洪涝、地质灾害和台风受灾面积千公顷,技术市场成交额万元,建成区绿化覆盖率%,居民人均消费支出元,每万人拥有公共厕所座,每万人拥有公共交通车辆标台,年末人口数.,年末实有道路面积万平方米 ,年末实有道路长度公里,企业期末使用计算机数台,企业拥有网站数个,全年供水总量万立方千米,人工煤气管道长度公里,人工煤气全年供气总量万立方米,人工煤气用气人口数万人,人均城市道路面积平方米,人均公园绿地面积平方米,人均可支配收入元,人均生活用水量升,生活垃圾清运量万吨,生活垃圾无害化处理厂数座,生活垃圾无害化处理量万吨,生活垃圾无害化处理率(%).,生活垃圾无害化处理能力吨每日,实用新型专利授权数件,受灾人口万人次,水库总容量亿立方米,水路货物周转量亿吨公里,水土流失治理面积千公顷,水运客运量万人,水运旅客周转量亿人公里,天然气管道长度公里,天然气全年供气总量万立方米,天然气用气人口数万人,铁路货物周转量亿吨公里,铁路客运量万人,铁路旅客周转量亿人公里,外观设计专利授权数件,液化石油气管道长度公里,液化石油气全年供气总量吨,液化石油气用气人口万人,用水人口万人,有电子商务交易活动企业数个,主要城市降水量毫米,主要城市平均气温摄氏度,主要城市平均相对湿度%,主要城市日照时数小时,城区面积（平方公里）.xlsx,城市出租汽车（辆）.xlsx,城市道路照明灯（千盏）.xlsx,城市公共汽、电车车辆运营数（辆）.xlsx,城市公共汽、电车运营线路总长度（公里）.xlsx,城市建设用地面积（平方公里）.xlsx,城市绿地面积（公顷）.xlsx,城市排水管道长度（公里）.xlsx,城市桥梁（座）.xlsx,城市清扫保洁面积（万平方米）.xlsx,城市燃气普及率（%）.xlsx,城市人口密度（人每平方公里）.xlsx,城市污水日处理能力（万立方米）.xlsx,城市用水普及率（%）.xlsx,除涝面积（千公顷）.xlsx,低温冷冻和雪灾受灾面积（千公顷）.xlsx,电子商务采购额（亿元）.xlsx,电子商务销售额（亿元）.xlsx,发明专利授权数（件）.xlsx,分地区公路货运量(万吨）.xlsx,分地区水路货运量（万吨）.xlsx,分地区铁路货运量（万吨）.xlsx,分地区用电量（亿千瓦小时）.xlsx,风雹灾害受灾面积（千公顷）.xlsx,公路货物周转量（亿吨公里).xlsx,公路客运量（万人）.xlsx,公路旅客周转量（亿人公里）.xlsx,供热面积（万平方米）.xlsx,供热总量-热水（万吉焦）.xlsx,供热总量-蒸汽（万吉焦）.xlsx,国家自然保护区个数(个）.xlsx,国家自然保护区面积（万公顷）.xlsx,旱灾受灾面积（千公顷）.xlsx,洪涝、地质灾害和台风受灾面积（千公顷）.xlsx,技术市场成交额（万元）.xlsx,建成区绿化覆盖率（%）.xlsx,居民人均消费支出（元）.xlsx,每万人拥有公共厕所（座）.xlsx,每万人拥有公共交通车辆（标台）.xlsx,年末人口数.xlsx,年末实有道路面积（万平方米 ）.xlsx,年末实有道路长度（公里）.xlsx,企业期末使用计算机数（台）.xlsx,企业拥有网站数（个）.xlsx,全年供水总量（万立方千米）.xlsx,人工煤气管道长度（公里）.xlsx,人工煤气全年供气总量（万立方米）.xlsx,人工煤气用气人口数（万人）.xlsx,人均城市道路面积（平方米）.xlsx,人均公园绿地面积（平方米）.xlsx,人均可支配收入（元）.xlsx,人均生活用水量（升）.xlsx,生活垃圾清运量（万吨）.xlsx,生活垃圾无害化处理厂数（座）.xlsx,生活垃圾无害化处理量（万吨）.xlsx,生活垃圾无害化处理率(%).xlsx,生活垃圾无害化处理能力（吨每日）.xlsx,实用新型专利授权数（件）.xlsx,受灾人口（万人次）.xlsx,水库总容量（亿立方米）.xlsx,水路货物周转量（亿吨公里）.xlsx,水土流失治理面积（千公顷）.xlsx,水运客运量（万人）.xlsx,水运旅客周转量（亿人公里）.xlsx,天然气管道长度（公里）.xlsx,天然气全年供气总量（万立方米）.xlsx,天然气用气人口数（万人）.xlsx,铁路货物周转量（亿吨公里）.xlsx,铁路客运量（万人）.xlsx,铁路旅客周转量（亿人公里）.xlsx,外观设计专利授权数（件）.xlsx,液化石油气管道长度（公里）.xlsx,液化石油气全年供气总量（吨）.xlsx,液化石油气用气人口（万人）.xlsx,用水人口（万人）.xlsx,有电子商务交易活动企业数（个）.xlsx,主要城市降水量（毫米）.xlsx,主要城市平均气温（摄氏度）.xlsx,主要城市平均相对湿度（%）.xlsx,主要城市日照时数（小时）.xlsx
2014-安徽,38792.00 ,809.80 ,13915.00 ,12319.00 ,1830.10 ,89512.00 ,24580.00 ,1441.00 ,26370.00 ,96.81 ,2416.00 ,616.20 ,98.63 ,2315.80 ,41.00 ,1377.10 ,2108.40 ,5184.00 ,315223.00 ,108587.00 ,10488.00 ,NA,9.80 ,7392.37 ,131403.00 ,799.37 ,2304.00 ,46.00 ,2870.00 ,7.00 ,13.90 ,283.30 ,307.20 ,1698313.00 ,41.20 ,11727.00 ,2.23 ,11.60 ,5997.00 ,29124.00 ,12932.00 ,1116202.00 ,22631.00 ,167781.00 ,NA,NA,NA,20.33 ,13.20 ,16795.50 ,197.00 ,464.80 ,26.00 ,462.50 ,99.50 ,15153.00 ,36748.00 ,1201.60 ,324.00 ,5298.24 ,1702.00 ,178.00 ,0.32 ,17155.00 ,219684.00 ,1083.10 ,809.99 ,7972.00 ,617.64 ,6448.00 ,270.00 ,752627.00 ,303.60 ,1412.80 ,3123.00 ,1180.20 ,16.50 ,76.00 ,1539.40 ,5929.70 ,38792.00 ,809.80 ,13915.00 ,12319.00 ,1830.10 ,89512.00 ,24580.00 ,1441.00 ,26370.00 ,96.81 ,2416.00 ,616.20 ,98.63 ,2315.80 ,41.00 ,1377.10 ,2108.40 ,5184.00 ,315223.00 ,108587.00 ,10488.00 ,NA,9.80 ,7392.37 ,131403.00 ,799.37 ,2304.00 ,46.00 ,2870.00 ,7.00 ,13.90 ,283.30 ,307.20 ,1698313.00 ,41.20 ,11727.00 ,2.23 ,11.60 ,5997.00 ,29124.00 ,12932.00 ,1116202.00 ,22631.00 ,167781.00 ,NA,NA,NA,20.33 ,13.20 ,16795.50 ,197.00 ,464.80 ,26.00 ,462.50 ,99.50 ,15153.00 ,36748.00 ,1201.60 ,324.00 ,5298.24 ,1702.00 ,178.00 ,0.32 ,17155.00 ,219684.00 ,1083.10 ,809.99 ,7972.00 ,617.64 ,6448.00 ,270.00 ,752627.00 ,303.60 ,1412.80 ,3123.00 ,1180.20 ,16.50 ,76.00 ,1539.40 
2014-北京,67546.00 ,248.70 ,23667.00 ,20249.00 ,1586.40 ,68438.00 ,14290.00 ,2244.00 ,15104.00 ,100.00 ,1525.00 ,442.00 ,100.00 ,149.80 ,NA,7563.90 ,9012.40 ,23237.00 ,25416.00 ,NA,1135.00 ,NA,27.20 ,165.19 ,52354.00 ,138.30 ,56786.00 ,35300.00 ,166.00 ,2.00 ,2.60 ,26.10 ,NA,31371854.00 ,49.10 ,31102.90 ,2.92 ,24.84 ,2171.00 ,13834.00 ,8107.00 ,3595998.00 ,20632.00 ,182419.00 ,NA,NA,NA,7.44 ,15.94 ,44488.60 ,173.70 ,733.80 ,25.00 ,730.80 ,99.60 ,21371.00 ,44071.00 ,32.10 ,52.00 ,NA,670.80 ,NA,NA,20574.00 ,1136874.00 ,1424.60 ,871.52 ,12709.00 ,135.63 ,7353.00 ,414.00 ,546293.00 ,434.50 ,1859.00 ,4361.00 ,461.50 ,14.10 ,52.00 ,2344.10 ,12187.00 ,67546.00 ,248.70 ,23667.00 ,20249.00 ,1586.40 ,68438.00 ,14290.00 ,2244.00 ,15104.00 ,100.00 ,1525.00 ,442.00 ,100.00 ,149.80 ,NA,7563.90 ,9012.40 ,23237.00 ,25416.00 ,NA,1135.00 ,NA,27.20 ,165.19 ,52354.00 ,138.30 ,56786.00 ,35300.00 ,166.00 ,2.00 ,2.60 ,26.10 ,NA,31371854.00 ,49.10 ,31102.90 ,2.92 ,24.84 ,2171.00 ,13834.00 ,8107.00 ,3595998.00 ,20632.00 ,182419.00 ,NA,NA,NA,7.44 ,15.94 ,44488.60 ,173.70 ,733.80 ,25.00 ,730.80 ,99.60 ,21371.00 ,44071.00 ,32.10 ,52.00 ,NA,670.80 ,NA,NA,20574.00 ,1136874.00 ,1424.60 ,871.52 ,12709.00 ,135.63 ,7353.00 ,414.00 ,546293.00 ,434.50 ,1859.00 ,4361.00 ,461.50 ,14.10 ,52.00 ,2344.10 
2014-福建,20380.00 ,689.60 ,13426.00 ,19675.00 ,1208.10 ,60396.00 ,12709.00 ,1799.00 ,16243.00 ,98.83 ,2627.00 ,434.40 ,99.49 ,147.10 ,2.10 ,768.90 ,2098.90 ,3426.00 ,82573.00 ,25782.00 ,3402.00 ,NA,2.70 ,974.80 ,48580.00 ,334.95 ,NA,NA,NA,16.00 ,24.00 ,NA,97.80 ,391913.00 ,42.80 ,17644.50 ,2.74 ,13.33 ,3945.00 ,15436.00 ,7987.00 ,1445183.00 ,20576.00 ,156464.00 ,321.00 ,2977.00 ,21.40 ,13.61 ,12.76 ,23330.90 ,166.70 ,598.90 ,27.00 ,586.10 ,97.90 ,18149.00 ,21013.00 ,155.80 ,199.00 ,3655.72 ,3388.30 ,1794.00 ,2.87 ,7499.00 ,132312.00 ,375.20 ,149.70 ,8345.00 ,284.91 ,13418.00 ,216.00 ,298252.00 ,724.40 ,1128.40 ,2928.00 ,1628.00 ,20.80 ,72.00 ,1591.70 ,4318.10 ,20380.00 ,689.60 ,13426.00 ,19675.00 ,1208.10 ,60396.00 ,12709.00 ,1799.00 ,16243.00 ,98.83 ,2627.00 ,434.40 ,99.49 ,147.10 ,2.10 ,768.90 ,2098.90 ,3426.00 ,82573.00 ,25782.00 ,3402.00 ,NA,2.70 ,974.80 ,48580.00 ,334.95 ,NA,NA,NA,16.00 ,24.00 ,NA,97.80 ,391913.00 ,42.80 ,17644.50 ,2.74 ,13.33 ,3945.00 ,15436.00 ,7987.00 ,1445183.00 ,20576.00 ,156464.00 ,321.00 ,2977.00 ,21.40 ,13.61 ,12.76 ,23330.90 ,166.70 ,598.90 ,27.00 ,586.10 ,97.90 ,18149.00 ,21013.00 ,155.80 ,199.00 ,3655.72 ,3388.30 ,1794.00 ,2.87 ,7499.00 ,132312.00 ,375.20 ,149.70 ,8345.00 ,284.91 ,13418.00 ,216.00 ,298252.00 ,724.40 ,1128.40 ,2928.00 ,1628.00 ,20.80 ,72.00 ,1591.70 
2014-甘肃,20337.00 ,265.50 ,5488.00 ,5872.00 ,756.60 ,22342.00 ,5016.00 ,445.00 ,7478.00 ,83.48 ,3682.00 ,161.00 ,94.95 ,11.10 ,675.80 ,390.40 ,340.20 ,812.00 ,50781.00 ,10.00 ,6448.00 ,NA,143.10 ,992.60 ,36224.00 ,229.02 ,15270.00 ,9175.00 ,88.00 ,20.00 ,687.70 ,644.20 ,155.30 ,1145162.00 ,30.80 ,9874.60 ,2.50 ,9.67 ,2531.00 ,8758.00 ,4151.00 ,265970.00 ,4038.00 ,54565.00 ,400.00 ,1676.00 ,15.50 ,15.30 ,12.79 ,12184.70 ,154.10 ,253.00 ,16.00 ,158.40 ,62.60 ,4475.00 ,3538.00 ,1052.70 ,105.00 ,0.01 ,7567.10 ,89.00 ,0.17 ,2087.00 ,159230.00 ,298.00 ,1522.86 ,2672.00 ,377.87 ,747.00 ,NA,59662.00 ,164.40 ,543.60 ,380.00 ,355.60 ,7.70 ,59.00 ,2492.80 ,1554.80 ,20337.00 ,265.50 ,5488.00 ,5872.00 ,756.60 ,22342.00 ,5016.00 ,445.00 ,7478.00 ,83.48 ,3682.00 ,161.00 ,94.95 ,11.10 ,675.80 ,390.40 ,340.20 ,812.00 ,50781.00 ,10.00 ,6448.00 ,NA,143.10 ,992.60 ,36224.00 ,229.02 ,15270.00 ,9175.00 ,88.00 ,20.00 ,687.70 ,644.20 ,155.30 ,1145162.00 ,30.80 ,9874.60 ,2.50 ,9.67 ,2531.00 ,8758.00 ,4151.00 ,265970.00 ,4038.00 ,54565.00 ,400.00 ,1676.00 ,15.50 ,15.30 ,12.79 ,12184.70 ,154.10 ,253.00 ,16.00 ,158.40 ,62.60 ,4475.00 ,3538.00 ,1052.70 ,105.00 ,0.01 ,7567.10 ,89.00 ,0.17 ,2087.00 ,159230.00 ,298.00 ,1522.86 ,2672.00 ,377.87 ,747.00 ,NA,59662.00 ,164.40 ,543.60 ,380.00 ,355.60 ,7.70 ,59.00 ,2492.80 
2014-广东,66135.00 ,2124.00 ,53866.00 ,94131.00 ,4415.60 ,421884.00 ,50320.00 ,6377.00 ,84873.00 ,96.64 ,2999.00 ,1857.50 ,97.26 ,526.10 ,5.30 ,8623.30 ,12992.60 ,22276.00 ,257136.00 ,77219.00 ,9136.00 ,NA,15.30 ,3113.84 ,157234.00 ,1629.79 ,NA,NA,NA,15.00 ,32.60 ,NA,821.80 ,4132478.00 ,41.40 ,19205.50 ,1.89 ,13.28 ,11489.00 ,67446.00 ,38213.00 ,6102321.00 ,61679.00 ,840259.00 ,NA,NA,NA,13.20 ,16.28 ,25685.00 ,203.00 ,2214.20 ,65.00 ,1912.70 ,86.40 ,64901.00 ,83202.00 ,742.80 ,448.50 ,11407.80 ,1384.90 ,2613.00 ,10.67 ,25541.00 ,1291347.00 ,1618.70 ,279.39 ,20942.00 ,674.92 ,74475.00 ,2338.00 ,3684390.00 ,3319.10 ,4969.30 ,8222.00 ,2234.00 ,21.70 ,79.00 ,1613.60 ,17036.40 ,66135.00 ,2124.00 ,53866.00 ,94131.00 ,4415.60 ,421884.00 ,50320.00 ,6377.00 ,84873.00 ,96.64 ,2999.00 ,1857.50 ,97.26 ,526.10 ,5.30 ,8623.30 ,12992.60 ,22276.00 ,257136.00 ,77219.00 ,9136.00 ,NA,15.30 ,3113.84 ,157234.00 ,1629.79 ,NA,NA,NA,15.00 ,32.60 ,NA,821.80 ,4132478.00 ,41.40 ,19205.50 ,1.89 ,13.28 ,11489.00 ,67446.00 ,38213.00 ,6102321.00 ,61679.00 ,840259.00 ,NA,NA,NA,13.20 ,16.28 ,25685.00 ,203.00 ,2214.20 ,65.00 ,1912.70 ,86.40 ,64901.00 ,83202.00 ,742.80 ,448.50 ,11407.80 ,1384.90 ,2613.00 ,10.67 ,25541.00 ,1291347.00 ,1618.70 ,279.39 ,20942.00 ,674.92 ,74475.00 ,2338.00 ,3684390.00 ,3319.10 ,4969.30 ,8222.00 ,2234.00 ,21.70 ,79.00 ,1613.60 
2014-广西,16592.00 ,590.70 ,7774.00 ,10699.00 ,1141.30 ,72414.00 ,8771.00 ,735.00 ,14065.00 ,92.99 ,1684.00 ,672.20 ,94.40 ,231.40 ,15.10 ,393.30 ,701.50 ,1933.00 ,134330.00 ,22009.00 ,6684.00 ,NA,14.80 ,2068.51 ,46623.00 ,413.23 ,NA,NA,NA,22.00 ,38.90 ,15.60 ,1167.20 ,115833.00 ,39.30 ,10274.30 ,2.15 ,9.19 ,4770.00 ,15614.00 ,7638.00 ,586603.00 ,5734.00 ,162236.00 ,463.00 ,4739.00 ,47.40 ,15.75 ,11.19 ,15557.10 ,247.50 ,338.90 ,19.00 ,323.30 ,95.40 ,8091.00 ,6138.00 ,1100.50 ,674.00 ,1250.70 ,1931.80 ,512.00 ,2.48 ,3377.00 ,28510.00 ,266.40 ,770.44 ,4770.00 ,236.96 ,1593.00 ,12.00 ,267632.00 ,607.80 ,935.50 ,894.00 ,1234.70 ,21.60 ,82.00 ,1416.40 ,5886.60 ,16592.00 ,590.70 ,7774.00 ,10699.00 ,1141.30 ,72414.00 ,8771.00 ,735.00 ,14065.00 ,92.99 ,1684.00 ,672.20 ,94.40 ,231.40 ,15.10 ,393.30 ,701.50 ,1933.00 ,134330.00 ,22009.00 ,6684.00 ,NA,14.80 ,2068.51 ,46623.00 ,413.23 ,NA,NA,NA,22.00 ,38.90 ,15.60 ,1167.20 ,115833.00 ,39.30 ,10274.30 ,2.15 ,9.19 ,4770.00 ,15614.00 ,7638.00 ,586603.00 ,5734.00 ,162236.00 ,463.00 ,4739.00 ,47.40 ,15.75 ,11.19 ,15557.10 ,247.50 ,338.90 ,19.00 ,323.30 ,95.40 ,8091.00 ,6138.00 ,1100.50 ,674.00 ,1250.70 ,1931.80 ,512.00 ,2.48 ,3377.00 ,28510.00 ,266.40 ,770.44 ,4770.00 ,236.96 ,1593.00 ,12.00 ,267632.00 ,607.80 ,935.50 ,894.00 ,1234.70 ,21.60 ,82.00 ,1416.40 
2014-贵州,15967.00 ,401.30 ,5834.00 ,6269.00 ,635.70 ,35721.00 ,5577.00 ,573.00 ,5129.00 ,76.30 ,2393.00 ,140.80 ,94.47 ,89.50 ,43.90 ,436.80 ,860.50 ,1047.00 ,78017.00 ,1338.00 ,6317.00 ,NA,160.90 ,776.95 ,80231.00 ,412.92 ,191.00 ,132.00 ,NA,8.00 ,24.40 ,9.50 ,411.70 ,200392.00 ,34.00 ,9303.40 ,2.17 ,10.61 ,3677.00 ,6531.00 ,3295.00 ,397198.00 ,5462.00 ,55793.00 ,2954.00 ,16034.00 ,127.50 ,10.33 ,12.50 ,12371.10 ,216.00 ,273.80 ,14.00 ,255.30 ,93.30 ,5545.00 ,5207.00 ,1493.80 ,434.70 ,30.94 ,6021.30 ,1931.00 ,5.19 ,965.00 ,29011.00 ,138.00 ,633.89 ,4409.00 ,217.39 ,3853.00 ,125.00 ,76043.00 ,217.10 ,597.60 ,559.00 ,1562.00 ,14.70 ,83.00 ,956.00 ,2643.60 ,15967.00 ,401.30 ,5834.00 ,6269.00 ,635.70 ,35721.00 ,5577.00 ,573.00 ,5129.00 ,76.30 ,2393.00 ,140.80 ,94.47 ,89.50 ,43.90 ,436.80 ,860.50 ,1047.00 ,78017.00 ,1338.00 ,6317.00 ,NA,160.90 ,776.95 ,80231.00 ,412.92 ,191.00 ,132.00 ,NA,8.00 ,24.40 ,9.50 ,411.70 ,200392.00 ,34.00 ,9303.40 ,2.17 ,10.61 ,3677.00 ,6531.00 ,3295.00 ,397198.00 ,5462.00 ,55793.00 ,2954.00 ,16034.00 ,127.50 ,10.33 ,12.50 ,12371.10 ,216.00 ,273.80 ,14.00 ,255.30 ,93.30 ,5545.00 ,5207.00 ,1493.80 ,434.70 ,30.94 ,6021.30 ,1931.00 ,5.19 ,965.00 ,29011.00 ,138.00 ,633.89 ,4409.00 ,217.39 ,3853.00 ,125.00 ,76043.00 ,217.10 ,597.60 ,559.00 ,1562.00 ,14.70 ,83.00 ,956.00 
2014-海南,6105.00 ,169.00 ,2879.00 ,4758.00 ,258.30 ,14672.00 ,3522.00 ,151.00 ,6084.00 ,96.49 ,2069.00 ,87.60 ,98.10 ,12.80 ,NA,198.40 ,364.40 ,380.00 ,11015.00 ,11763.00 ,854.00 ,NA,NA,81.50 ,11042.00 ,89.08 ,NA,NA,NA,10.00 ,15.70 ,NA,309.40 ,6525.00 ,41.30 ,12470.60 ,1.83 ,11.97 ,936.00 ,4747.00 ,2188.00 ,159138.00 ,2145.00 ,42580.00 ,NA,NA,NA,17.97 ,13.01 ,17476.50 ,235.00 ,144.20 ,9.00 ,144.00 ,99.80 ,3880.00 ,848.00 ,621.40 ,106.20 ,1394.23 ,58.80 ,1624.00 ,3.33 ,2201.00 ,27635.00 ,127.90 ,12.38 ,1543.00 ,28.06 ,369.00 ,18.00 ,89419.00 ,127.00 ,259.10 ,327.00 ,1861.30 ,24.70 ,83.00 ,2112.00 ,1276.70 ,6105.00 ,169.00 ,2879.00 ,4758.00 ,258.30 ,14672.00 ,3522.00 ,151.00 ,6084.00 ,96.49 ,2069.00 ,87.60 ,98.10 ,12.80 ,NA,198.40 ,364.40 ,380.00 ,11015.00 ,11763.00 ,854.00 ,NA,NA,81.50 ,11042.00 ,89.08 ,NA,NA,NA,10.00 ,15.70 ,NA,309.40 ,6525.00 ,41.30 ,12470.60 ,1.83 ,11.97 ,936.00 ,4747.00 ,2188.00 ,159138.00 ,2145.00 ,42580.00 ,NA,NA,NA,17.97 ,13.01 ,17476.50 ,235.00 ,144.20 ,9.00 ,144.00 ,99.80 ,3880.00 ,848.00 ,621.40 ,106.20 ,1394.23 ,58.80 ,1624.00 ,3.33 ,2201.00 ,27635.00 ,127.90 ,12.38 ,1543.00 ,28.06 ,369.00 ,18.00 ,89419.00 ,127.00 ,259.10 ,327.00 ,1861.30 ,24.70 ,83.00 ,2112.00 
2014-河北,50435.00 ,624.60 ,15977.00 ,20305.00 ,1719.10 ,79393.00 ,15924.00 ,1378.00 ,24549.00 ,94.26 ,2540.00 ,523.20 ,99.29 ,1639.30 ,105.20 ,1118.40 ,1629.70 ,NA,185286.00 ,4041.00 ,20619.00 ,NA,254.20 ,7019.56 ,51151.00 ,290.48 ,52296.00 ,19144.00 ,5684.00 ,13.00 ,25.30 ,1027.90 ,48.40 ,292228.00 ,41.90 ,11931.50 ,3.92 ,11.34 ,7323.00 ,30113.00 ,12859.00 ,1040137.00 ,15709.00 ,151478.00 ,3145.00 ,56763.00 ,172.70 ,18.49 ,14.45 ,16647.40 ,124.30 ,614.10 ,40.00 ,531.90 ,86.60 ,17184.00 ,NA,1716.10 ,206.00 ,1481.77 ,4826.50 ,4.00 ,0.28 ,12760.00 ,257439.00 ,1028.40 ,4183.14 ,9571.00 ,985.91 ,NA,271.00 ,161923.00 ,334.20 ,1617.10 ,1250.00 ,294.80 ,14.90 ,55.00 ,1585.40 ,6412.40 ,50435.00 ,624.60 ,15977.00 ,20305.00 ,1719.10 ,79393.00 ,15924.00 ,1378.00 ,24549.00 ,94.26 ,2540.00 ,523.20 ,99.29 ,1639.30 ,105.20 ,1118.40 ,1629.70 ,2286_x000D_,185286.00 ,4041.00 ,20619.00 ,NA,254.20 ,7019.56 ,51151.00 ,290.48 ,52296.00 ,19144.00 ,5684.00 ,13.00 ,25.30 ,1027.90 ,48.40 ,292228.00 ,41.90 ,11931.50 ,3.92 ,11.34 ,7323.00 ,30113.00 ,12859.00 ,1040137.00 ,15709.00 ,151478.00 ,3145.00 ,56763.00 ,172.70 ,18.49 ,14.45 ,16647.40 ,124.30 ,614.10 ,40.00 ,531.90 ,86.60 ,17184.00 ,14253_x000D_,1716.10 ,206.00 ,1481.77 ,4826.50 ,4.00 ,0.28 ,12760.00 ,257439.00 ,1028.40 ,4183.14 ,9571.00 ,985.91 ,3593_x000D_,271.00 ,161923.00 ,334.20 ,1617.10 ,1250.00 ,294.80 ,14.90 ,55.00 ,1585.40 
2014-河南,46247.00 ,825.50 ,20267.00 ,20840.00 ,2232.90 ,85661.00 ,19348.00 ,1287.00 ,27197.00 ,83.76 ,5149.00 ,562.80 ,92.99 ,2031.70 ,9.90 ,1357.10 ,2830.40 ,3493.00 ,179680.00 ,9351.00 ,11770.00 ,NA,37.70 ,4822.37 ,128279.00 ,844.86 ,18993.00 ,5572.00 ,3150.00 ,12.00 ,43.70 ,1809.30 ,48.30 ,407919.00 ,38.30 ,11000.40 ,3.01 ,9.75 ,9645.00 ,28017.00 ,11627.00 ,1369883.00 ,24830.00 ,191001.00 ,573.00 ,59436.00 ,28.80 ,11.67 ,9.93 ,15695.20 ,138.80 ,832.80 ,43.00 ,773.10 ,92.80 ,23207.00 ,23539.00 ,2491.00 ,419.00 ,615.59 ,3441.70 ,254.00 ,0.54 ,17412.00 ,305240.00 ,1448.90 ,1963.16 ,11647.00 ,900.63 ,6334.00 ,17.00 ,223532.00 ,533.20 ,2232.50 ,1965.00 ,551.60 ,16.30 ,58.00 ,1894.20 ,4662.50 ,46247.00 ,825.50 ,20267.00 ,20840.00 ,2232.90 ,85661.00 ,19348.00 ,1287.00 ,27197.00 ,83.76 ,5149.00 ,562.80 ,92.99 ,2031.70 ,9.90 ,1357.10 ,2830.40 ,3493.00 ,179680.00 ,9351.00 ,11770.00 ,NA,37.70 ,4822.37 ,128279.00 ,844.86 ,18993.00 ,5572.00 ,3150.00 ,12.00 ,43.70 ,1809.30 ,48.30 ,407919.00 ,38.30 ,11000.40 ,3.01 ,9.75 ,9645.00 ,28017.00 ,11627.00 ,1369883.00 ,24830.00 ,191001.00 ,573.00 ,59436.00 ,28.80 ,11.67 ,9.93 ,15695.20 ,138.80 ,832.80 ,43.00 ,773.10 ,92.80 ,23207.00 ,23539.00 ,2491.00 ,419.00 ,615.59 ,3441.70 ,254.00 ,0.54 ,17412.00 ,305240.00 ,1448.90 ,1963.16 ,11647.00 ,900.63 ,6334.00 ,17.00 ,223532.00 ,533.20 ,2232.50 ,1965.00 ,551.60 ,16.30 ,58.00 ,1894.20 
